"Step","miloss0.001_mitemp0.1_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score","miloss0.001_mitemp0.1_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score__MIN","miloss0.001_mitemp0.1_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score__MAX","miloss0.01_mitemp0.1_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score","miloss0.01_mitemp0.1_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score__MIN","miloss0.01_mitemp0.1_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score__MAX","miloss0.1_mitemp0.1_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score","miloss0.1_mitemp0.1_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score__MIN","miloss0.1_mitemp0.1_15/50_2022.12.29-22.31.27_train_diffusion_unet_hybrid_lift_image - test/mean_score__MAX"
"126","0.08","0.08","0.08","0.22","0.22","0.22","0.08","0.08","0.08"
"6476","0.12","0.12","0.12","0.1","0.1","0.1","0.16","0.16","0.16"
"12826","0.14","0.14","0.14","0.06","0.06","0.06","0.18","0.18","0.18"
"19176","0.14","0.14","0.14","0.1","0.1","0.1","0.18","0.18","0.18"
"25526","0.22","0.22","0.22","0.26","0.26","0.26","0.14","0.14","0.14"
"31876","0.32","0.32","0.32","0.28","0.28","0.28","0.24","0.24","0.24"
"38226","0.42","0.42","0.42","0.26","0.26","0.26","0.2","0.2","0.2"
"44576","0.38","0.38","0.38","0.36","0.36","0.36","0.22","0.22","0.22"
"50926","0.28","0.28","0.28","0.38","0.38","0.38","0.32","0.32","0.32"
"57276","0.3","0.3","0.3","0.58","0.58","0.58","0.26","0.26","0.26"
"63626","0.34","0.34","0.34","0.52","0.52","0.52","0.3","0.3","0.3"
"69976","0.42","0.42","0.42","0.38","0.38","0.38","0.42","0.42","0.42"
"76326","0.46","0.46","0.46","0.6","0.6","0.6","0.48","0.48","0.48"
"82676","0.46","0.46","0.46","0.62","0.62","0.62","0.46","0.46","0.46"
"89026","0.54","0.54","0.54","0.56","0.56","0.56","0.44","0.44","0.44"
"95376","0.5","0.5","0.5","0.58","0.58","0.58","0.54","0.54","0.54"
"101726","0.62","0.62","0.62","0.64","0.64","0.64","0.46","0.46","0.46"
"108076","0.64","0.64","0.64","0.64","0.64","0.64","0.5","0.5","0.5"
"114426","0.72","0.72","0.72","0.68","0.68","0.68","0.62","0.62","0.62"
"120776","0.66","0.66","0.66","0.74","0.74","0.74","0.56","0.56","0.56"
"127126","0.72","0.72","0.72","0.62","0.62","0.62","0.56","0.56","0.56"